,Price_EUR_MWh,Forecast_Load_MW,Forecast_Solar_MW,Forecast_Wind_MW,Forecast_Residual_Load_MW,Is_Negative,Year,Hour,DayOfWeek,Month,Hour_sin,Hour_cos,DayOfWeek_sin,DayOfWeek_cos,Month_sin,Month_cos
2025-09-30 06:00:00+02:00,56.0,40200.0,0.0,1975.71,38224.29,False,2025,6,1,9,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16
2025-09-30 07:00:00+02:00,98.18,46100.0,0.0,2023.67,44076.33,False,2025,7,1,9,0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16
2025-09-30 08:00:00+02:00,120.0,49000.0,5.73,2062.02,46932.25,False,2025,8,1,9,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16
2025-09-30 09:00:00+02:00,93.97,49700.0,1085.33,2070.65,46544.02,False,2025,9,1,9,0.7071067811865476,-0.7071067811865475,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16
2025-09-30 10:00:00+02:00,60.1,50400.0,4191.6,1734.71,44473.69,False,2025,10,1,9,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16
2025-09-30 11:00:00+02:00,31.0,50200.0,7905.86,1353.3,40940.84,False,2025,11,1,9,0.258819045102521,-0.9659258262890682,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16
2025-09-30 12:00:00+02:00,24.47,50800.0,10851.33,1437.94,38510.729999999996,False,2025,12,1,9,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16
2025-09-30 13:00:00+02:00,21.9,51000.0,12860.56,1724.68,36414.76,False,2025,13,1,9,-0.2588190451025208,-0.9659258262890683,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16
2025-09-30 14:00:00+02:00,7.43,48700.0,13681.07,1916.23,33102.7,False,2025,14,1,9,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16
2025-09-30 15:00:00+02:00,22.89,47500.0,13271.03,2013.35,32215.620000000003,False,2025,15,1,9,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16
2025-09-30 16:00:00+02:00,25.26,46500.0,11634.73,2117.52,32747.750000000004,False,2025,16,1,9,-0.8660254037844385,-0.5000000000000004,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16
